Crash ID,State,Month,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20213115,Queensland,5,Friday,15:00,Multiple,Yes,No,No,110,Passenger,Female,30,Remote Australia,Darling Downs - Maranoa,Maranoa (R),National or State Highway,No,No,26_to_39,Weekday,Day
20211117,New South Wales,5,Tuesday,16:43,Single,No,No,No,100,Driver,Male,33,Outer Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,26_to_39,Weekday,Day
20213015,Queensland,5,Thursday,10:00,Single,No,No,No,100,Driver,Male,36,Remote Australia,Cairns,Tablelands (R),National or State Highway,No,No,26_to_39,Weekday,Day
20211111,New South Wales,5,Friday,17:00,Single,No,No,No,100,Driver,Male,39,Outer Regional Australia,Central West,Warrumbungle,National or State Highway,No,No,26_to_39,Weekday,Day
20214047,South Australia,5,Tuesday,15:41,Multiple,Yes,No,No,80,Driver,Male,51,Outer Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys (DC),Sub-arterial Road,No,No,40_to_64,Weekday,Day
20212038,Victoria,5,Monday,6:40,Single,No,No,No,100,Driver,Male,50,Outer Regional Australia,Latrobe - Gippsland,East Gippsland (S),Arterial Road,No,No,40_to_64,Weekday,Day
20214062,South Australia,5,Monday,9:12,Single,No,No,No,110,Driver,Male,52,Very Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway,No,No,40_to_64,Weekday,Day
20216026,Tasmania,5,Saturday,0:27,Single,No,No,No,50,Driver,Male,24,Remote Australia,West and North West,West Coast (M),National or State Highway,No,No,17_to_25,Weekend,Night
20215084,Western Australia,5,Tuesday,22:20,Multiple,No,Yes,No,110,Driver,Male,24,,,,,No,No,17_to_25,Weekday,Night
20211172,New South Wales,5,Friday,12:15,Single,No,No,No,50,Driver,Male,57,Major Cities of Australia,Central Coast,Central Coast,Local Road,No,No,40_to_64,Weekday,Day
20213164,Queensland,5,Monday,15:00,Multiple,No,No,No,50,Motorcycle rider,Male,48,Major Cities of Australia,Logan - Beaudesert,Logan (C),Local Road,No,No,40_to_64,Weekday,Day
20213014,Queensland,5,Thursday,16:00,Multiple,Yes,No,No,60,Pedal cyclist,Male,20,Major Cities of Australia,Brisbane - South,Brisbane (C),Collector Road,No,No,17_to_25,Weekday,Day
20211165,New South Wales,5,Monday,17:45,Single,No,No,No,100,Driver,Male,52,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,Access road,No,No,40_to_64,Weekday,Day
20215036,Western Australia,5,Thursday,15:31,Multiple,No,No,No,70,Motorcycle rider,Male,55,,,,,No,No,40_to_64,Weekday,Day
20213107,Queensland,5,Friday,19:00,Multiple,No,No,Yes,110,Driver,Male,28,Very Remote Australia,Queensland - Outback,McKinlay (S),National or State Highway,No,No,26_to_39,Weekend,Night
20211069,New South Wales,5,Saturday,4:45,Single,No,No,No,110,Driver,Male,27,Outer Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,26_to_39,Weekend,Night
20215041,Western Australia,5,Sunday,20:18,Single,No,No,No,110,Driver,Female,28,,,,,No,No,26_to_39,Weekend,Night
20216014,Tasmania,5,Saturday,21:40,Single,No,No,No,60,Motorcycle rider,Male,29,Inner Regional Australia,Launceston and North East,Launceston (C),National or State Highway,No,No,26_to_39,Weekend,Night
20211091,New South Wales,5,Tuesday,10:18,Multiple,No,No,Yes,100,Driver,Female,53,Outer Regional Australia,Central West,Warrumbungle,National or State Highway,No,No,40_to_64,Weekday,Day
20212103,Victoria,5,Tuesday,6:15,Single,No,No,No,100,Motorcycle rider,Male,56,Inner Regional Australia,Melbourne - South East,Cardinia (S),National or State Highway,No,No,40_to_64,Weekday,Day
20215010,Western Australia,5,Friday,6:20,Multiple,No,No,No,60,Motorcycle rider,Male,60,,,,,No,No,40_to_64,Weekday,Day
20213161,Queensland,5,Friday,16:00,Single,No,No,No,50,Passenger,Male,16,Outer Regional Australia,Central Queensland,Central Highlands (R) (Qld),Local Road,No,No,0_to_16,Weekday,Day
20212047,Victoria,5,Wednesday,16:10,Multiple,No,No,No,100,Motorcycle rider,Male,65,Inner Regional Australia,Warrnambool and South West,Warrnambool (C),Sub-arterial Road,No,No,65_to_74,Weekday,Day
